Vértices;Inicio;Busca;Tempo Serial (ms)
10000;100;9240;738,757
Número Threads;Tempo (ms);Speedup;Eficiência
1;476,437;1;1
2;331,536;1,43706;0,718531
4;245,762;1,93861;0,484653
8;218,568;2,17981;0,272477
12;228,658;2,08362;0,173635
16;221,311;2,1528;0,13455
24;222,1;2,14515;0,0893812
32;219,294;2,17259;0,0678935
Vértices;Inicio;Busca;Tempo Serial (ms)
10000;1206;3071;472,987
Número Threads;Tempo (ms);Speedup;Eficiência
1;486,562;1;1
2;328,21;1,48247;0,741236
4;252,055;1,93038;0,482595
8;224,514;2,16718;0,270898
12;232,992;2,08832;0,174027
16;226,361;2,14949;0,134343
24;226,677;2,1465;0,0894375
32;225,799;2,15484;0,0673389
Vértices;Inicio;Busca;Tempo Serial (ms)
10000;1759;5960;425,068
Número Threads;Tempo (ms);Speedup;Eficiência
1;466,864;1;1
2;314,583;1,48407;0,742035
4;236,9;1,97072;0,49268
8;210,943;2,21322;0,276652
12;218,959;2,13219;0,177683
16;213,281;2,18896;0,13681
24;212,575;2,19623;0,0915094
32;211,301;2,20948;0,0690461
