Número de Vértices;Vértice Inicial;Valor da Busca;Tipo;Threads;Tempo (ms)
1000;216;261;Serial;-;1.67546
1000;216;261;Serial;-;1.65941
1000;216;261;Serial;-;1.63558
1000;216;261;Serial;-;1.64983
1000;216;261;Serial;-;1.63978
1000;216;261;Serial;-;1.6205
1000;216;261;Serial;-;1.62388
1000;216;261;Serial;-;1.63492
1000;216;261;Serial;-;1.6109
1000;216;261;Serial;-;1.65531
1000;216;261;Paralelo;1;1.61166
1000;216;261;Paralelo;1;1.60374
1000;216;261;Paralelo;1;1.63132
1000;216;261;Paralelo;1;1.55699
1000;216;261;Paralelo;1;1.59604
1000;216;261;Paralelo;1;1.56788
1000;216;261;Paralelo;1;1.63231
1000;216;261;Paralelo;1;1.59542
1000;216;261;Paralelo;1;1.60359
1000;216;261;Paralelo;1;1.60878
1000;216;261;Paralelo;2;1.86972
1000;216;261;Paralelo;2;1.68206
1000;216;261;Paralelo;2;1.72421
1000;216;261;Paralelo;2;1.67586
1000;216;261;Paralelo;2;1.70862
1000;216;261;Paralelo;2;1.71451
1000;216;261;Paralelo;2;1.74223
1000;216;261;Paralelo;2;1.71473
1000;216;261;Paralelo;2;1.69985
1000;216;261;Paralelo;2;1.76949
1000;216;261;Paralelo;4;2.06502
1000;216;261;Paralelo;4;1.97985
1000;216;261;Paralelo;4;1.9209
1000;216;261;Paralelo;4;1.86995
1000;216;261;Paralelo;4;1.98121
1000;216;261;Paralelo;4;1.86857
1000;216;261;Paralelo;4;1.89037
1000;216;261;Paralelo;4;1.96453
1000;216;261;Paralelo;4;1.93092
1000;216;261;Paralelo;4;1.92027
1000;216;261;Paralelo;8;1.32406
1000;216;261;Paralelo;8;1.03581
1000;216;261;Paralelo;8;1.1247
1000;216;261;Paralelo;8;1.13177
1000;216;261;Paralelo;8;1.12106
1000;216;261;Paralelo;8;1.05099
1000;216;261;Paralelo;8;1.061
1000;216;261;Paralelo;8;1.1752
1000;216;261;Paralelo;8;1.12482
1000;216;261;Paralelo;8;0.996053
1000;216;261;Paralelo;16;4.32575
1000;216;261;Paralelo;16;13.8029
1000;216;261;Paralelo;16;16.8979
1000;216;261;Paralelo;16;10.7664
1000;216;261;Paralelo;16;0.919242
1000;216;261;Paralelo;16;0.723237
1000;216;261;Paralelo;16;1.28975
1000;216;261;Paralelo;16;1.055
1000;216;261;Paralelo;16;2.89598
1000;216;261;Paralelo;16;1.00137
