Vértices;Inicio;Busca;Tipo;Threads;Tempo(ms)
10000;100;9240;Serial;1;742,334
10000;100;9240;Serial;1;749,312
10000;100;9240;Serial;1;736,166
10000;100;9240;Serial;1;738,034
10000;100;9240;Serial;1;736,311
10000;100;9240;Serial;1;736,667
10000;100;9240;Serial;1;736,909
10000;100;9240;Serial;1;738,609
10000;100;9240;Serial;1;735,588
10000;100;9240;Serial;1;737,643
10000;100;9240;Concorrente;1;475,456
10000;100;9240;Concorrente;1;476,959
10000;100;9240;Concorrente;1;477,368
10000;100;9240;Concorrente;1;476,528
10000;100;9240;Concorrente;1;475,75
10000;100;9240;Concorrente;1;476,717
10000;100;9240;Concorrente;1;476,449
10000;100;9240;Concorrente;1;475,849
10000;100;9240;Concorrente;1;477,492
10000;100;9240;Concorrente;1;475,8
10000;100;9240;Concorrente;2;335,35
10000;100;9240;Concorrente;2;324,758
10000;100;9240;Concorrente;2;331,272
10000;100;9240;Concorrente;2;329,727
10000;100;9240;Concorrente;2;331,405
10000;100;9240;Concorrente;2;337,375
10000;100;9240;Concorrente;2;328,359
10000;100;9240;Concorrente;2;331,866
10000;100;9240;Concorrente;2;335,458
10000;100;9240;Concorrente;2;329,785
10000;100;9240;Concorrente;4;254,56
10000;100;9240;Concorrente;4;249,292
10000;100;9240;Concorrente;4;246,057
10000;100;9240;Concorrente;4;243,619
10000;100;9240;Concorrente;4;249,269
10000;100;9240;Concorrente;4;244,807
10000;100;9240;Concorrente;4;242,907
10000;100;9240;Concorrente;4;241,355
10000;100;9240;Concorrente;4;240,784
10000;100;9240;Concorrente;4;244,967
10000;100;9240;Concorrente;8;218,581
10000;100;9240;Concorrente;8;225,773
10000;100;9240;Concorrente;8;216,676
10000;100;9240;Concorrente;8;217,812
10000;100;9240;Concorrente;8;215,921
10000;100;9240;Concorrente;8;217,681
10000;100;9240;Concorrente;8;215,496
10000;100;9240;Concorrente;8;220,54
10000;100;9240;Concorrente;8;217,566
10000;100;9240;Concorrente;8;219,632
10000;100;9240;Concorrente;12;233,846
10000;100;9240;Concorrente;12;228,572
10000;100;9240;Concorrente;12;227,615
10000;100;9240;Concorrente;12;225,769
10000;100;9240;Concorrente;12;236,443
10000;100;9240;Concorrente;12;225,147
10000;100;9240;Concorrente;12;222,911
10000;100;9240;Concorrente;12;229,913
10000;100;9240;Concorrente;12;227,625
10000;100;9240;Concorrente;12;228,742
10000;100;9240;Concorrente;16;236,296
10000;100;9240;Concorrente;16;220,029
10000;100;9240;Concorrente;16;214,903
10000;100;9240;Concorrente;16;224,492
10000;100;9240;Concorrente;16;222,794
10000;100;9240;Concorrente;16;219,53
10000;100;9240;Concorrente;16;223,205
10000;100;9240;Concorrente;16;216,435
10000;100;9240;Concorrente;16;215,11
10000;100;9240;Concorrente;16;220,312
10000;100;9240;Concorrente;24;226,829
10000;100;9240;Concorrente;24;218,89
10000;100;9240;Concorrente;24;221,093
10000;100;9240;Concorrente;24;229,447
10000;100;9240;Concorrente;24;223,614
10000;100;9240;Concorrente;24;223,59
10000;100;9240;Concorrente;24;220,868
10000;100;9240;Concorrente;24;217,98
10000;100;9240;Concorrente;24;216,089
10000;100;9240;Concorrente;24;222,597
10000;100;9240;Concorrente;32;224,139
10000;100;9240;Concorrente;32;220,967
10000;100;9240;Concorrente;32;225,322
10000;100;9240;Concorrente;32;215,088
10000;100;9240;Concorrente;32;220,164
10000;100;9240;Concorrente;32;221,278
10000;100;9240;Concorrente;32;220,648
10000;100;9240;Concorrente;32;217,22
10000;100;9240;Concorrente;32;213,068
10000;100;9240;Concorrente;32;215,047
10000;1206;3071;Serial;1;470,901
10000;1206;3071;Serial;1;474,04
10000;1206;3071;Serial;1;471,355
10000;1206;3071;Serial;1;475,688
10000;1206;3071;Serial;1;470,712
10000;1206;3071;Serial;1;475,076
10000;1206;3071;Serial;1;473,692
10000;1206;3071;Serial;1;473,116
10000;1206;3071;Serial;1;472,916
10000;1206;3071;Serial;1;472,379
10000;1206;3071;Concorrente;1;489,448
10000;1206;3071;Concorrente;1;486,73
10000;1206;3071;Concorrente;1;487,566
10000;1206;3071;Concorrente;1;485,368
10000;1206;3071;Concorrente;1;486,09
10000;1206;3071;Concorrente;1;484,155
10000;1206;3071;Concorrente;1;486,809
10000;1206;3071;Concorrente;1;490,913
10000;1206;3071;Concorrente;1;485,273
10000;1206;3071;Concorrente;1;483,264
10000;1206;3071;Concorrente;2;335,607
10000;1206;3071;Concorrente;2;328,821
10000;1206;3071;Concorrente;2;326,639
10000;1206;3071;Concorrente;2;326,395
10000;1206;3071;Concorrente;2;328,832
10000;1206;3071;Concorrente;2;328,748
