Número de Vértices;Vértice Inicial;Valor da Busca;Tipo;Threads;Tempo (ms)
1000;93;225;Serial;-;17,5202680000
1000;93;225;Serial;-;7,2881760000
1000;93;225;Serial;-;7,6878940000
1000;93;225;Serial;-;4,8820150000
1000;93;225;Serial;-;2,9387960000
1000;93;225;Serial;-;2,3615680000
1000;93;225;Serial;-;2,3857790000
1000;93;225;Serial;-;2,7068520000
1000;93;225;Serial;-;2,4784150000
1000;93;225;Serial;-;2,2944930000
1000;93;225;Paralelo;1;59,0352940000
1000;93;225;Paralelo;1;27,6803510000
1000;93;225;Paralelo;1;70,3646050000
1000;93;225;Paralelo;1;29,2054850000
1000;93;225;Paralelo;1;22,0048950000
1000;93;225;Paralelo;1;84,2184390000
1000;93;225;Paralelo;1;21,8338230000
1000;93;225;Paralelo;1;50,6858080000
1000;93;225;Paralelo;1;5,2565200000
1000;93;225;Paralelo;1;44,6953620000
1000;93;225;Paralelo;2;5,7644660000
1000;93;225;Paralelo;2;58,8052690000
1000;93;225;Paralelo;2;8,8490190000
1000;93;225;Paralelo;2;15,0727130000
1000;93;225;Paralelo;2;101,8188620000
1000;93;225;Paralelo;2;30,3437390000
1000;93;225;Paralelo;2;12,4562870000
1000;93;225;Paralelo;2;12,6160330000
1000;93;225;Paralelo;2;12,4619020000
1000;93;225;Paralelo;2;14,5480020000
1000;93;225;Paralelo;4;82,1798170000
1000;93;225;Paralelo;4;14,4044790000
1000;93;225;Paralelo;4;7,1471250000
1000;93;225;Paralelo;4;5,3053130000
1000;93;225;Paralelo;4;9,8599600000
1000;93;225;Paralelo;4;27,6544040000
1000;93;225;Paralelo;4;46,3330860000
1000;93;225;Paralelo;4;5,0344810000
1000;93;225;Paralelo;4;10,4600160000
1000;93;225;Paralelo;4;15,9138250000
1000;93;225;Paralelo;8;8,8197850000
1000;93;225;Paralelo;8;20,8573690000
1000;93;225;Paralelo;8;7,7255710000
1000;93;225;Paralelo;8;32,2439000000
1000;93;225;Paralelo;8;21,8435080000
1000;93;225;Paralelo;8;9,8751040000
1000;93;225;Paralelo;8;12,4821400000
1000;93;225;Paralelo;8;14,2177330000
1000;93;225;Paralelo;8;19,8390620000
1000;93;225;Paralelo;8;14,6119190000
1000;93;225;Paralelo;16;19,5687550000
1000;93;225;Paralelo;16;14,9023650000
1000;93;225;Paralelo;16;10,2446310000
1000;93;225;Paralelo;16;20,0752370000
1000;93;225;Paralelo;16;19,7198150000
1000;93;225;Paralelo;16;17,5016790000
1000;93;225;Paralelo;16;15,4998860000
1000;93;225;Paralelo;16;7,5302010000
1000;93;225;Paralelo;16;18,3068070000
1000;93;225;Paralelo;16;16,7544280000
1000;216;261;Serial;-;2,9170980000
1000;216;261;Serial;-;2,8777400000
1000;216;261;Serial;-;2,7676340000
1000;216;261;Serial;-;2,7861520000
1000;216;261;Serial;-;2,8119780000
1000;216;261;Serial;-;2,8513370000
1000;216;261;Serial;-;2,8804270000
1000;216;261;Serial;-;2,6262810000
1000;216;261;Serial;-;3,2250690000
1000;216;261;Serial;-;3,0370320000
1000;216;261;Paralelo;1;13,9541120000
1000;216;261;Paralelo;1;44,2797350000
1000;216;261;Paralelo;1;9,6671610000
1000;216;261;Paralelo;1;8,5299850000
1000;216;261;Paralelo;1;6,8558830000
1000;216;261;Paralelo;1;8,8482590000
1000;216;261;Paralelo;1;8,7738330000
1000;216;261;Paralelo;1;9,1456700000
1000;216;261;Paralelo;1;9,4233250000
1000;216;261;Paralelo;1;7,5353830000
1000;216;261;Paralelo;2;7,9134940000
1000;216;261;Paralelo;2;15,5087450000
1000;216;261;Paralelo;2;14,6915410000
1000;216;261;Paralelo;2;17,0014170000
1000;216;261;Paralelo;2;17,1634980000
1000;216;261;Paralelo;2;9,0579720000
1000;216;261;Paralelo;2;9,2246840000
1000;216;261;Paralelo;2;8,0692910000
1000;216;261;Paralelo;2;13,1409580000
1000;216;261;Paralelo;2;18,5399700000
1000;216;261;Paralelo;4;10,9532210000
1000;216;261;Paralelo;4;10,4695260000
1000;216;261;Paralelo;4;11,0082220000
1000;216;261;Paralelo;4;11,9316400000
1000;216;261;Paralelo;4;10,5752970000
1000;216;261;Paralelo;4;10,7280550000
1000;216;261;Paralelo;4;24,9663620000
1000;216;261;Paralelo;4;11,5002720000
1000;216;261;Paralelo;4;19,9282430000
1000;216;261;Paralelo;4;26,7579650000
1000;216;261;Paralelo;8;8,9791580000
1000;216;261;Paralelo;8;24,2944120000
1000;216;261;Paralelo;8;11,8948120000
1000;216;261;Paralelo;8;24,6128620000
1000;216;261;Paralelo;8;10,6431810000
1000;216;261;Paralelo;8;22,2569150000
1000;216;261;Paralelo;8;10,6330600000
1000;216;261;Paralelo;8;10,6077110000
1000;216;261;Paralelo;8;24,6645820000
1000;216;261;Paralelo;8;14,4390020000
1000;216;261;Paralelo;16;21,6519420000
1000;216;261;Paralelo;16;12,1714170000
1000;216;261;Paralelo;16;11,5152850000
1000;216;261;Paralelo;16;23,0799510000
1000;216;261;Paralelo;16;9,5399990000
1000;216;261;Paralelo;16;22,4999880000
1000;216;261;Paralelo;16;9,9093520000
1000;216;261;Paralelo;16;24,5479210000
1000;216;261;Paralelo;16;23,2413880000
1000;216;261;Paralelo;16;11,5679590000
1000;614;925;Serial;-;29,6603540000
1000;614;925;Serial;-;27,8167940000
1000;614;925;Serial;-;27,4732870000
1000;614;925;Serial;-;28,7092550000
1000;614;925;Serial;-;28,6693970000
1000;614;925;Serial;-;30,1122190000
1000;614;925;Serial;-;29,8340120000
1000;614;925;Serial;-;30,0646320000
1000;614;925;Serial;-;29,3758750000
1000;614;925;Serial;-;30,2156650000
1000;614;925;Paralelo;1;230,0264430000
1000;614;925;Paralelo;1;33,3773800000
1000;614;925;Paralelo;1;475,3732580000
1000;614;925;Paralelo;1;202,5880810000
1000;614;925;Paralelo;1;165,8571030000
1000;614;925;Paralelo;1;418,5924800000
1000;614;925;Paralelo;1;133,0267820000
1000;614;925;Paralelo;1;35,9623870000
1000;614;925;Paralelo;1;247,9829100000
1000;614;925;Paralelo;1;189,7203570000
1000;614;925;Paralelo;2;174,7986310000
1000;614;925;Paralelo;2;54,0132900000
1000;614;925;Paralelo;2;154,9313570000
1000;614;925;Paralelo;2;29,0241690000
1000;614;925;Paralelo;2;62,3113980000
1000;614;925;Paralelo;2;227,2893000000
1000;614;925;Paralelo;2;511,8246500000
1000;614;925;Paralelo;2;236,9460030000
1000;614;925;Paralelo;2;260,7709970000
1000;614;925;Paralelo;2;180,2611560000
1000;614;925;Paralelo;4;1463,4095200000
1000;614;925;Paralelo;4;50,7025850000
1000;614;925;Paralelo;4;27,3256330000
1000;614;925;Paralelo;4;103,0219160000
1000;614;925;Paralelo;4;22,6422540000
1000;614;925;Paralelo;4;21,6822740000
1000;614;925;Paralelo;4;22,3272740000
1000;614;925;Paralelo;4;148,8528120000
1000;614;925;Paralelo;4;24,3599440000
1000;614;925;Paralelo;4;20,9913750000
1000;614;925;Paralelo;8;22,1278040000
1000;614;925;Paralelo;8;52,0127970000
1000;614;925;Paralelo;8;199,3631130000
1000;614;925;Paralelo;8;21,3823930000
1000;614;925;Paralelo;8;58,0959030000
1000;614;925;Paralelo;8;21,9971650000
1000;614;925;Paralelo;8;22,0156340000
1000;614;925;Paralelo;8;127,3921890000
1000;614;925;Paralelo;8;48,4639420000
1000;614;925;Paralelo;8;23,3757270000
1000;614;925;Paralelo;16;58,5696980000
1000;614;925;Paralelo;16;21,4532120000
1000;614;925;Paralelo;16;105,4481290000
1000;614;925;Paralelo;16;49,1004940000
1000;614;925;Paralelo;16;49,8104700000
1000;614;925;Paralelo;16;20,1511410000
1000;614;925;Paralelo;16;22,1215930000
1000;614;925;Paralelo;16;53,2123230000
1000;614;925;Paralelo;16;64,4458330000
1000;614;925;Paralelo;16;43,0808480000
