Vértices;Inicio;Busca;Tipo;Threads;Tempo(ms)
10000;100;9240;Serial;1;456,878893
10000;100;9240;Serial;1;474,707084
10000;100;9240;Serial;1;551,205799
10000;100;9240;Serial;1;458,992995
10000;100;9240;Serial;1;340,586029
10000;100;9240;Serial;1;318,31294
10000;100;9240;Serial;1;365,448454
10000;100;9240;Serial;1;436,84923
10000;100;9240;Serial;1;477,74968
10000;100;9240;Serial;1;356,281012
10000;100;9240;Concorrente;1;622,00951
10000;100;9240;Concorrente;1;589,626537
10000;100;9240;Concorrente;1;482,640496
10000;100;9240;Concorrente;1;610,627356
10000;100;9240;Concorrente;1;323,149882
10000;100;9240;Concorrente;1;568,740425
10000;100;9240;Concorrente;1;444,137601
10000;100;9240;Concorrente;1;494,655775
10000;100;9240;Concorrente;1;549,627577
10000;100;9240;Concorrente;1;431,35778
10000;100;9240;Concorrente;2;507,073091
10000;100;9240;Concorrente;2;333,522179
10000;100;9240;Concorrente;2;520,348047
10000;100;9240;Concorrente;2;409,46424
10000;100;9240;Concorrente;2;474,449407
10000;100;9240;Concorrente;2;411,04444
10000;100;9240;Concorrente;2;468,327428
10000;100;9240;Concorrente;2;417,053844
10000;100;9240;Concorrente;2;302,810914
10000;100;9240;Concorrente;2;474,653199
10000;100;9240;Concorrente;4;338,617646
10000;100;9240;Concorrente;4;266,916076
10000;100;9240;Concorrente;4;317,599764
10000;100;9240;Concorrente;4;421,268232
10000;100;9240;Concorrente;4;344,938639
10000;100;9240;Concorrente;4;374,286417
10000;100;9240;Concorrente;4;425,537892
10000;100;9240;Concorrente;4;243,832713
10000;100;9240;Concorrente;4;423,656304
10000;100;9240;Concorrente;4;343,725129
10000;100;9240;Concorrente;8;317,997979
10000;100;9240;Concorrente;8;401,144996
10000;100;9240;Concorrente;8;681,766742
10000;100;9240;Concorrente;8;208,202908
10000;100;9240;Concorrente;8;437,236323
10000;100;9240;Concorrente;8;360,837236
10000;100;9240;Concorrente;8;309,077834
10000;100;9240;Concorrente;8;292,614337
10000;100;9240;Concorrente;8;615,612931
10000;100;9240;Concorrente;8;197,4991
10000;100;9240;Concorrente;12;422,293787
10000;100;9240;Concorrente;12;309,366325
10000;100;9240;Concorrente;12;319,122535
10000;100;9240;Concorrente;12;481,384668
10000;100;9240;Concorrente;12;347,386758
10000;100;9240;Concorrente;12;375,293084
10000;100;9240;Concorrente;12;309,095024
10000;100;9240;Concorrente;12;519,915878
10000;100;9240;Concorrente;12;422,556653
10000;100;9240;Concorrente;12;311,100096
10000;100;9240;Concorrente;16;517,205008
10000;100;9240;Concorrente;16;453,651777
10000;100;9240;Concorrente;16;424,479772
10000;100;9240;Concorrente;16;291,450156
10000;100;9240;Concorrente;16;381,051279
10000;100;9240;Concorrente;16;507,089837
10000;100;9240;Concorrente;16;227,154401
10000;100;9240;Concorrente;16;397,232239
10000;100;9240;Concorrente;16;317,244239
10000;100;9240;Concorrente;16;313,694373
10000;100;9240;Concorrente;24;487,852452
10000;100;9240;Concorrente;24;421,983624
10000;100;9240;Concorrente;24;239,122938
10000;100;9240;Concorrente;24;317,447393
10000;100;9240;Concorrente;24;444,893344
10000;100;9240;Concorrente;24;245,019582
10000;100;9240;Concorrente;24;398,326907
10000;100;9240;Concorrente;24;329,422134
10000;100;9240;Concorrente;24;323,745381
10000;100;9240;Concorrente;24;516,304765
10000;100;9240;Concorrente;32;580,177621
10000;100;9240;Concorrente;32;423,441285
10000;100;9240;Concorrente;32;478,325278
10000;100;9240;Concorrente;32;529,87111
10000;100;9240;Concorrente;32;302,192005
10000;100;9240;Concorrente;32;461,24488
10000;100;9240;Concorrente;32;557,117361
10000;100;9240;Concorrente;32;414,539292
10000;100;9240;Concorrente;32;479,832448
10000;100;9240;Concorrente;32;347,2193
10000;1206;3071;Serial;1;199,071332
10000;1206;3071;Serial;1;158,684174
10000;1206;3071;Serial;1;145,48581
10000;1206;3071;Serial;1;145,653358
10000;1206;3071;Serial;1;157,142274
10000;1206;3071;Serial;1;147,174509
10000;1206;3071;Serial;1;159,025288
10000;1206;3071;Serial;1;193,287187
10000;1206;3071;Serial;1;210,268399
10000;1206;3071;Serial;1;535,595406
10000;1206;3071;Concorrente;1;496,940506
10000;1206;3071;Concorrente;1;374,741931
10000;1206;3071;Concorrente;1;358,894227
10000;1206;3071;Concorrente;1;319,775796
10000;1206;3071;Concorrente;1;377,686397
10000;1206;3071;Concorrente;1;479,201453
10000;1206;3071;Concorrente;1;290,878115
10000;1206;3071;Concorrente;1;404,733543
10000;1206;3071;Concorrente;1;401,601167
10000;1206;3071;Concorrente;1;420,061334
10000;1206;3071;Concorrente;2;360,231626
10000;1206;3071;Concorrente;2;277,378828
10000;1206;3071;Concorrente;2;429,67068
10000;1206;3071;Concorrente;2;239,924147
10000;1206;3071;Concorrente;2;321,785685
10000;1206;3071;Concorrente;2;461,725518
10000;1206;3071;Concorrente;2;333,155973
10000;1206;3071;Concorrente;2;231,10638
10000;1206;3071;Concorrente;2;452,589108
10000;1206;3071;Concorrente;2;314,655349
10000;1206;3071;Concorrente;4;177,124834
10000;1206;3071;Concorrente;4;351,502202
10000;1206;3071;Concorrente;4;229,487192
10000;1206;3071;Concorrente;4;334,625637
10000;1206;3071;Concorrente;4;237,336388
10000;1206;3071;Concorrente;4;357,948106
10000;1206;3071;Concorrente;4;175,554254
10000;1206;3071;Concorrente;4;426,172155
10000;1206;3071;Concorrente;4;268,789839
10000;1206;3071;Concorrente;4;174,318669
10000;1206;3071;Concorrente;8;325,277109
10000;1206;3071;Concorrente;8;316,317281
10000;1206;3071;Concorrente;8;224,20252
10000;1206;3071;Concorrente;8;274,196106
10000;1206;3071;Concorrente;8;447,750501
10000;1206;3071;Concorrente;8;288,382417
10000;1206;3071;Concorrente;8;279,31259
10000;1206;3071;Concorrente;8;340,086205
10000;1206;3071;Concorrente;8;268,53068
10000;1206;3071;Concorrente;8;349,448089
10000;1206;3071;Concorrente;12;263,397974
10000;1206;3071;Concorrente;12;382,683672
10000;1206;3071;Concorrente;12;322,16022
10000;1206;3071;Concorrente;12;278,200881
10000;1206;3071;Concorrente;12;466,367191
10000;1206;3071;Concorrente;12;388,996559
10000;1206;3071;Concorrente;12;376,223414
10000;1206;3071;Concorrente;12;373,833805
10000;1206;3071;Concorrente;12;414,082581
10000;1206;3071;Concorrente;12;358,617514
10000;1206;3071;Concorrente;16;347,817994
10000;1206;3071;Concorrente;16;377,913111
10000;1206;3071;Concorrente;16;372,533086
10000;1206;3071;Concorrente;16;292,135166
10000;1206;3071;Concorrente;16;401,030399
10000;1206;3071;Concorrente;16;508,835511
10000;1206;3071;Concorrente;16;325,892016
10000;1206;3071;Concorrente;16;355,498895
10000;1206;3071;Concorrente;16;415,716305
10000;1206;3071;Concorrente;16;350,960944
10000;1206;3071;Concorrente;24;469,333677
10000;1206;3071;Concorrente;24;344,677166
10000;1206;3071;Concorrente;24;332,559446
10000;1206;3071;Concorrente;24;402,47978
10000;1206;3071;Concorrente;24;402,140122
10000;1206;3071;Concorrente;24;467,153492
10000;1206;3071;Concorrente;24;348,525098
10000;1206;3071;Concorrente;24;242,051804
10000;1206;3071;Concorrente;24;354,519044
10000;1206;3071;Concorrente;24;481,032121
10000;1206;3071;Concorrente;32;365,219934
10000;1206;3071;Concorrente;32;339,322055
10000;1206;3071;Concorrente;32;523,527348
10000;1206;3071;Concorrente;32;345,069885
10000;1206;3071;Concorrente;32;321,6759
10000;1206;3071;Concorrente;32;317,035999
10000;1206;3071;Concorrente;32;475,125154
10000;1206;3071;Concorrente;32;357,117386
10000;1206;3071;Concorrente;32;383,370015
10000;1206;3071;Concorrente;32;316,490693
10000;1759;5960;Serial;1;162,666715
10000;1759;5960;Serial;1;161,511046
10000;1759;5960;Serial;1;155,874488
10000;1759;5960;Serial;1;150,149625
10000;1759;5960;Serial;1;144,119284
10000;1759;5960;Serial;1;180,289655
10000;1759;5960;Serial;1;184,637184
10000;1759;5960;Serial;1;264,839629
10000;1759;5960;Serial;1;296,885825
10000;1759;5960;Serial;1;248,943626
10000;1759;5960;Concorrente;1;397,647208
10000;1759;5960;Concorrente;1;385,417691
10000;1759;5960;Concorrente;1;388,575555
10000;1759;5960;Concorrente;1;502,20336
10000;1759;5960;Concorrente;1;437,574296
10000;1759;5960;Concorrente;1;276,969541
10000;1759;5960;Concorrente;1;416,338094
10000;1759;5960;Concorrente;1;360,898901
10000;1759;5960;Concorrente;1;389,100486
10000;1759;5960;Concorrente;1;533,42838
10000;1759;5960;Concorrente;2;357,518117
10000;1759;5960;Concorrente;2;459,833101
10000;1759;5960;Concorrente;2;324,137709
10000;1759;5960;Concorrente;2;458,829844
10000;1759;5960;Concorrente;2;258,05089
10000;1759;5960;Concorrente;2;483,777352
10000;1759;5960;Concorrente;2;433,311185
10000;1759;5960;Concorrente;2;254,696848
10000;1759;5960;Concorrente;2;478,678608
10000;1759;5960;Concorrente;2;484,047041
10000;1759;5960;Concorrente;4;213,216818
10000;1759;5960;Concorrente;4;455,418373
10000;1759;5960;Concorrente;4;354,981256
10000;1759;5960;Concorrente;4;400,184929
10000;1759;5960;Concorrente;4;252,386703
10000;1759;5960;Concorrente;4;412,190983
10000;1759;5960;Concorrente;4;332,549101
10000;1759;5960;Concorrente;4;458,952425
10000;1759;5960;Concorrente;4;379,571827
10000;1759;5960;Concorrente;4;360,223514
10000;1759;5960;Concorrente;8;434,513262
10000;1759;5960;Concorrente;8;329,744899
10000;1759;5960;Concorrente;8;510,386372
10000;1759;5960;Concorrente;8;331,592683
10000;1759;5960;Concorrente;8;229,854337
10000;1759;5960;Concorrente;8;375,987201
10000;1759;5960;Concorrente;8;425,426197
10000;1759;5960;Concorrente;8;301,121096
10000;1759;5960;Concorrente;8;245,478321
10000;1759;5960;Concorrente;8;402,36192
10000;1759;5960;Concorrente;12;329,909376
10000;1759;5960;Concorrente;12;209,256597
10000;1759;5960;Concorrente;12;361,651048
10000;1759;5960;Concorrente;12;392,997392
10000;1759;5960;Concorrente;12;386,017843
10000;1759;5960;Concorrente;12;344,160255
10000;1759;5960;Concorrente;12;313,031956
10000;1759;5960;Concorrente;12;349,394164
10000;1759;5960;Concorrente;12;344,85556
10000;1759;5960;Concorrente;12;317,541719
10000;1759;5960;Concorrente;16;342,013938
10000;1759;5960;Concorrente;16;314,306329
10000;1759;5960;Concorrente;16;387,268245
10000;1759;5960;Concorrente;16;451,474168
10000;1759;5960;Concorrente;16;326,237742
10000;1759;5960;Concorrente;16;429,509991
10000;1759;5960;Concorrente;16;432,362571
10000;1759;5960;Concorrente;16;215,485509
10000;1759;5960;Concorrente;16;362,78223
10000;1759;5960;Concorrente;16;274,056019
10000;1759;5960;Concorrente;24;357,14911
10000;1759;5960;Concorrente;24;278,837343
10000;1759;5960;Concorrente;24;417,778456
10000;1759;5960;Concorrente;24;254,253054
10000;1759;5960;Concorrente;24;378,89961
10000;1759;5960;Concorrente;24;282,929346
10000;1759;5960;Concorrente;24;325,699444
10000;1759;5960;Concorrente;24;450,505504
10000;1759;5960;Concorrente;24;430,864279
10000;1759;5960;Concorrente;24;323,256809
10000;1759;5960;Concorrente;32;382,543113
10000;1759;5960;Concorrente;32;401,693158
10000;1759;5960;Concorrente;32;292,25363
10000;1759;5960;Concorrente;32;323,563485
10000;1759;5960;Concorrente;32;431,860987
10000;1759;5960;Concorrente;32;359,503966
10000;1759;5960;Concorrente;32;285,53786
10000;1759;5960;Concorrente;32;371,983469
10000;1759;5960;Concorrente;32;492,06712
10000;1759;5960;Concorrente;32;322,836755
